frame,time_seconds,flash_offset,x,y,width,height,pixel_count,raw_length,encoded_length,record_length,decoded_crc32
407,13.566666666666666,765807,61,40,47,48,2256,4512,2455,2471,4B883BEE
408,13.6,768278,60,40,47,48,2256,4512,2459,2475,9341D3C8
409,13.633333333333333,770753,79,81,24,4,96,192,175,191,798E273B
410,13.666666666666666,770944,60,40,44,48,2112,4224,2401,2417,498701C4
411,13.7,773361,59,41,45,47,2115,4230,2381,2397,22A2ACD6
412,13.733333333333333,775758,59,41,44,47,2068,4136,2272,2288,5A35188D
413,13.766666666666667,778046,64,55,30,20,600,1200,923,939,F93BC83F
414,13.8,778985,59,42,43,45,1935,3870,2192,2208,090548C2
415,13.833333333333334,781193,79,59,7,29,203,406,243,259,8AB3589A
416,13.866666666666667,781452,59,42,44,46,2024,4048,2210,2226,9B34CE83
417,13.9,783678,59,40,44,48,2112,4224,2284,2300,56747D96
418,13.933333333333334,785978,60,40,44,48,2112,4224,2335,2351,00FC0879
419,13.966666666666667,788329,59,40,45,48,2160,4320,2393,2409,37F5EBAD
420,14.0,790738,57,40,47,48,2256,4512,2431,2447,5AA0DF22
421,14.033333333333333,793185,75,53,2,4,8,16,17,33,5D28B401
422,14.066666666666666,793218,69,54,30,17,510,1020,784,800,819EBFF3
423,14.1,794018,57,40,48,48,2304,4608,2430,2446,94131C5A
424,14.133333333333333,796464,59,40,47,48,2256,4512,2423,2439,6F53E163
425,14.166666666666666,798903,62,40,45,48,2160,4320,2281,2297,93D3E327
426,14.2,801200,63,40,45,48,2160,4320,2261,2277,B38EB32E
427,14.233333333333333,803477,102,65,1,1,1,2,3,19,8FB7F699
428,14.266666666666667,803496,64,41,44,47,2068,4136,2220,2236,BD031BC7
429,14.3,805732,64,41,45,47,2115,4230,2152,2168,1EEDFED1
430,14.333333333333334,807900,73,44,34,31,1054,2108,1453,1469,989B1063
431,14.366666666666667,809369,65,42,44,46,2024,4048,2091,2107,97C058E3
432,14.4,811476,65,42,44,46,2024,4048,2165,2181,99B8EBF4
433,14.433333333333334,813657,0,0,0,0,0,0,0,16,00000000
434,14.466666666666667,813673,64,40,44,48,2112,4224,2223,2239,758C0DA4
435,14.5,815912,64,40,44,47,2068,4136,2262,2278,A3EC75FA
436,14.533333333333333,818190,64,40,44,48,2112,4224,2321,2337,7EDC4EEC
437,14.566666666666666,820527,64,40,45,48,2160,4320,2476,2492,E9A80372
438,14.6,823019,71,53,39,33,1287,2574,1587,1603,6CFB30BA
439,14.633333333333333,824622,68,53,26,27,702,1404,938,954,34C0D2A1
440,14.666666666666666,825576,62,40,48,48,2304,4608,2478,2494,EA723650
441,14.7,828070,61,40,47,48,2256,4512,2469,2485,3420EF36
